CladeA,CladeB,CladeC,CladeD,CladeE,CladeF,CladeG,CladeH,CladeI,,,,,,,,,,,,,,value,group
0.01196364,0.01496568,0.01039352,0.01562068,,0.33529139,,,,,,,,,,,,,,,,,0.01196364,A
0.01196364,0.00493754,0.0101915,0.01029183,,0.37402225,,,,,,,,,,,,,,,,,0.01196364,A
0.01814393,0.0099259,0.01039706,0.01554468,,0.06992355,,,,,,,,,,,,,,,,,0.01814393,A
0.00596304,0.00991987,0.01039352,0.01562068,,0.07602707,,,,,,,,,,,,,,,,,0.00596304,A
0.0120931,0.00495421,0.0102256,0.01559881,,0.3650438,,,,,,,,,,,,,,,,,0.0120931,A
0.0183946,0.00991403,0.01538849,0.02101021,,0.39674707,,,,,,,,,,,,,,,,,0.0183946,A
0.0183946,0.00996164,0.02072911,0.02079281,,0.38207033,,,,,,,,,,,,,,,,,0.0183946,A
0.0183946,0.00493745,0.00508149,0.02079191,,0.392718,,,,,,,,,,,,,,,,,0.0183946,A
0.01808473,0.00996164,0.01027803,0.02101542,,0.40511789,,,,,,,,,,,,,,,,,0.01808473,A
0.01840278,0.00991403,0.01019203,0.02101021,,0.38181733,,,,,,,,,,,,,,,,,0.01840278,A
0.01808473,0.00991532,0.01027956,0.02101021,,0.38136417,,,,,,,,,,,,,,,,,0.01808473,A
0.01808473,0.00995781,0.01027803,0.02079191,,0.3686805,,,,,,,,,,,,,,,,,0.01808473,A
0.01808474,0.00991403,0.01027956,0.02079281,,0.40489364,,,,,,,,,,,,,,,,,0.01808474,A
0.01808474,0.00996164,0.01019203,0.02101021,,0.35556423,,,,,,,,,,,,,,,,,0.01808474,A
0.01808473,0.00991532,0.01019111,0.02101542,,0.35339153,,,,,,,,,,,,,,,,,0.01808473,A
0.02438623,0.00995781,0.01027803,0.02101542,,0.36272437,,,,,,,,,,,,,,,,,0.02438623,A
0.02438623,0.00991403,0.01019111,0.01550296,,0.33430202,,,,,,,,,,,,,,,,,0.02438623,A
0.02438623,0.00991403,0.01027956,0.01030986,,0.37210791,,,,,,,,,,,,,,,,,0.02438623,A
0.0305134,0.01491763,0.01019203,0.01559584,,0.06925561,,,,,,,,,,,,,,,,,0.0305134,A
0.03051127,0.00995046,0.01019111,0.01550296,,0.0816039,,,,,,,,,,,,,,,,,0.03051127,A
0.02417578,0.01490975,0.01019111,0.02078893,,0,,,,,,,,,,,,,,,,,0.02417578,A
0.00596626,0.00495421,0.01027344,0.01030986,,0.37807529,,,,,,,,,,,,,,,,,0.00596626,A
0.01196186,0.00991403,0.01561407,0.01559584,,0.4091756,,,,,,,,,,,,,,,,,0.01196186,A
0.01196186,0.00996164,0.02114126,0.01550385,,0.39444497,,,,,,,,,,,,,,,,,0.01196186,A
0.01196186,0.00996164,0.00510962,0.01550296,,0.40541585,,,,,,,,,,,,,,,,,0.01196186,A
0.01201456,0.00996164,0.01019111,0.01559881,,0.41853791,,,,,,,,,,,,,,,,,0.01201456,A
0.01196179,0.00991403,0.01039706,0.01559584,,0.39416159,,,,,,,,,,,,,,,,,0.01196179,A
0.01201456,0.00991532,0.0101915,0.01559584,,0.39355359,,,,,,,,,,,,,,,,,0.01201456,A
0.01201456,0.00995781,0.01019111,0.01550296,,0.38087158,,,,,,,,,,,,,,,,,0.01201456,A
0.01201143,0.00991403,0.0101915,0.01550385,,0.41737954,,,,,,,,,,,,,,,,,0.01201143,A
0.01201143,0.00996164,0.01039706,0.01559584,,0.36775052,,,,,,,,,,,,,,,,,0.01201143,A
0.01201456,0.00991532,0.01039352,0.01559881,,0.36545758,,,,,,,,,,,,,,,,,0.01201456,A
0.01801018,0.00995781,0.01019111,0.01559881,,0.37488351,,,,,,,,,,,,,,,,,0.01801018,A
0.01801018,0.00991403,0.01039352,0.01033556,,0.34544883,,,,,,,,,,,,,,,,,0.01801018,A
0.01801018,0.00991403,0.0101915,0.00514247,,0.3843044,,,,,,,,,,,,,,,,,0.01801018,A
0.02424256,0.01491763,0.01039706,0.01030836,,0.07569512,,,,,,,,,,,,,,,,,0.02424256,A
0.02425067,0.00995046,0.01039352,0.01033556,,0.08828302,,,,,,,,,,,,,,,,,0.02425067,A
0.0182219,0.01490975,0.01039352,0.01550145,,0.00549949,,,,,,,,,,,,,,,,,0.0182219,A
0.01812608,0.01006852,0.01019111,0.00513368,,0.00540976,,,,,,,,,,,,,,,,,0.01812608,A
0.01196186,0.00495421,0.01538849,0.01553109,,0.37657107,,,,,,,,,,,,,,,,,0.01196186,A
0.01812608,0.00991403,0.02072911,0.02084947,,0.40784297,,,,,,,,,,,,,,,,,0.01812608,A
0.01812608,0.00996164,0.02625629,0.02077297,,0.39316913,,,,,,,,,,,,,,,,,0.01812608,A
0.01812608,0.00996164,0.01019111,0.02077506,,0.40425172,,,,,,,,,,,,,,,,,0.01812608,A
0.01801018,0.00996164,0.01538765,0.02085508,,0.41717676,,,,,,,,,,,,,,,,,0.01801018,A
0.01812818,0.00991403,0.01547855,0.02084947,,0.39287687,,,,,,,,,,,,,,,,,0.01812818,A
0.01801018,0.00991532,0.01538918,0.02084947,,0.39241685,,,,,,,,,,,,,,,,,0.01801018,A
0.01801018,0.00995781,0.01538765,0.02077506,,0.37973306,,,,,,,,,,,,,,,,,0.01801018,A
0.01800704,0.00991403,0.01538918,0.02077297,,0.4161356,,,,,,,,,,,,,,,,,0.01800704,A
0.01800704,0.00996164,0.01547855,0.02084947,,0.36663836,,,,,,,,,,,,,,,,,0.01800704,A
0.01801018,0.00991532,0.01547501,0.02085508,,0.36440834,,,,,,,,,,,,,,,,,0.01801018,A
0.02417441,0.00995781,0.01538765,0.02085508,,0.37379518,,,,,,,,,,,,,,,,,0.02417441,A
0.02417441,0.00991403,0.01547501,0.01557409,,0.34455495,,,,,,,,,,,,,,,,,0.02417441,A
0.02417441,0.00991403,0.01538918,0.01033013,,0.383398,,,,,,,,,,,,,,,,,0.02417441,A
0.03044431,0.01491763,0.01547855,0.01552768,,0.07558562,,,,,,,,,,,,,,,,,0.03044431,A
0.03044958,0.00995046,0.01547501,0.01557409,,0.08817945,,,,,,,,,,,,,,,,,0.03044958,A
0.02425067,0.01490975,0.01547501,0.02077164,,0.00540955,,,,,,,,,,,,,,,,,0.02425067,A
0.02446505,0.01006852,0.01538765,0.01032127,,0.00540955,,,,,,,,,,,,,,,,,0.02446505,A
0.01813435,0.01006852,0.00508149,0.00515508,,0.01094692,,,,,,,,,,,,,,,,,0.01813435,A
0.01203431,0.00990432,0.0102256,0.00514823,,0.35254853,,,,,,,,,,,,,,,,,0.01203431,A
0.01805152,0.01496876,0.01538849,0.00515498,,0.39644101,,,,,,,,,,,,,,,,,0.01805152,A
0.01805152,0.01491169,0.02072911,0.01035142,,0.38164262,,,,,,,,,,,,,,,,,0.01805152,A
0.01805152,0.01491169,0.00508149,0.01035479,,0.39261355,,,,,,,,,,,,,,,,,0.01805152,A
0.0183093,0.01491169,0.01027803,0.01030915,,0.40507655,,,,,,,,,,,,,,,,,0.0183093,A
0.01805558,0.01496876,0.01019203,0.01030974,,0.38178192,,,,,,,,,,,,,,,,,0.01805558,A
0.0183093,0.0149683,0.01027956,0.01030974,,0.38126459,,,,,,,,,,,,,,,,,0.0183093,A
0.0183093,0.01490786,0.01027803,0.01035479,,0.36840076,,,,,,,,,,,,,,,,,0.0183093,A
0.01831367,0.01496876,0.01027956,0.01035142,,0.40414198,,,,,,,,,,,,,,,,,0.01831367,A
0.01831367,0.01491169,0.01019203,0.01030974,,0.35593253,,,,,,,,,,,,,,,,,0.01831367,A
0.0183093,0.0149683,0.01019111,0.01030915,,0.35381466,,,,,,,,,,,,,,,,,0.0183093,A
0.0243265,0.01490786,0.01027803,0.01030915,,0.36361721,,,,,,,,,,,,,,,,,0.0243265,A
0.0243265,0.01496876,0.01019111,0.01551631,,0.33377829,,,,,,,,,,,,,,,,,0.0243265,A
0.0243265,0.01496876,0.01027956,0.01030974,,0.37233626,,,,,,,,,,,,,,,,,0.0243265,A
0.03044211,0.0199723,0.01019203,0.01559239,,0.08174,,,,,,,,,,,,,,,,,0.03044211,A
0.03045333,0.01502473,0.01019111,0.01551631,,0.08137072,,,,,,,,,,,,,,,,,0.03045333,A
0.02440499,0.01996459,0.01019111,0.02079898,,0.00557154,,,,,,,,,,,,,,,,,0.02440499,A
0.02423766,0.01493809,0.01027803,0.02080208,,0.01085222,,,,,,,,,,,,,,,,,0.02423766,A
0.01805724,0.01493809,0.01019111,0.01548528,,0.01638959,,,,,,,,,,,,,,,,,0.01805724,A
0.02410657,0.01493809,0.00510962,0.02075447,,0.01638884,,,,,,,,,,,,,,,,,0.02410657,A
0.05615782,0.0098988,0.01539033,0.01029205,,0.43833905,,,,,,,,,,,,,,,,,0.05615782,A
0.06265052,0.01496891,0.01022578,0.01554551,,0.46427429,,,,,,,,,,,,,,,,,0.06265052,A
0.06265052,0.01488542,0.01538619,0.01561797,,0.45037814,,,,,,,,,,,,,,,,,0.06265052,A
0.06265052,0.01488542,0.0101915,0.0156209,,0.46339414,,,,,,,,,,,,,,,,,0.06265052,A
0.06315717,0.01488542,0.01538918,0.0155465,,0.47957428,,,,,,,,,,,,,,,,,0.06315717,A
0.06266874,0.01496891,0.01547894,0.01554551,,0.449923,,,,,,,,,,,,,,,,,0.06266874,A
0.06315717,0.01497137,0.01539088,0.01554551,,0.44901427,,,,,,,,,,,,,,,,,0.06315717,A
0.06315717,0.01488586,0.01538918,0.0156209,,0.43728773,,,,,,,,,,,,,,,,,0.06315717,A
0.06315787,0.01496891,0.01539088,0.01561797,,0.45995149,,,,,,,,,,,,,,,,,0.06315787,A
0.05608118,0.01488542,0.01547894,0.01554551,,0.44012618,,,,,,,,,,,,,,,,,0.05608118,A
0.06315717,0.01497137,0.0154754,0.0155465,,0.43676796,,,,,,,,,,,,,,,,,0.06315717,A
0.06965005,0.01488586,0.01538918,0.0155465,,0.44654606,,,,,,,,,,,,,,,,,0.06965005,A
0.06965005,0.01496891,0.0154754,0.02087435,,0.41154228,,,,,,,,,,,,,,,,,0.06965005,A
0.06965005,0.01496891,0.01539088,0.01554551,,0.45703561,,,,,,,,,,,,,,,,,0.06965005,A
0.07635275,0.01995598,0.01547894,0.02092252,,0.0876163,,,,,,,,,,,,,,,,,0.07635275,A
0.07640939,0.01487199,0.0154754,0.02087435,,0.10023208,,,,,,,,,,,,,,,,,0.07640939,A
0.06987717,0.02008978,0.0154754,0.02625136,,0.05738387,,,,,,,,,,,,,,,,,0.06987717,A
0.06268754,0.01491241,0.01538918,0.02620332,,0.0570154,,,,,,,,,,,,,,,,,0.06268754,A
0.0627409,0.01491241,0.0154754,0.02078893,,0.0633002,,,,,,,,,,,,,,,,,0.0627409,A
0.0692779,0.01491241,0.02067308,0.02609344,,0.0632773,,,,,,,,,,,,,,,,,0.0692779,A
0.06997459,0.01996784,0.01538918,0.01551631,,0.06926962,,,,,,,,,,,,,,,,,0.06997459,A
0.04370891,0.00499659,0.01022743,0.01038877,,0.47341885,,,,,,,,,,,,,,,,,0.04370891,A
